296,51
434,66
604,90
790,59
1017,66
1123,69
1307,53
1433,17
1616,24
1727,86
1859,74
2071,54
2242,39
2477,82
2605,52
2869,59
2975,0
3167,63
3429,26
3535,97
3713,12
3966,59
4259,18
4388,62
4596,59
4893,10
5038,19
5283,24
5557,85
5718,45
6013,70
6273,25
6509,61
6690,84
6893,46
7176,15
7344,57
7536,43
7835,76
8041,37
8255,27
8386,8
8536,44
8710,39
8867,38
9146,88
9276,50
9445,16
9633,0
9807,21
10058,66
10192,4
10389,11
10538,49
10831,55
10992,48
11114,99
11379,56
11559,27
11848,48
12136,15
12267,64
12384,50
12566,31
12735,66
13029,50
13140,16
13337,16
13446,39
13715,44
13927,92
14083,36
14329,42
14500,39
14747,42
14965,12
15067,95
15318,0
15526,11
15730,30
15960,31
16214,91
16422,15
16721,72
16847,17
17067,70
17248,68
17448,83
17552,25
17721,23
17874,37
18170,12
18400,91
18623,4
18820,63
19114,89
19226,6
19361,42
19614,60
19823,8
20069,61
20214,32
20454,22
20695,99
20971,92
21127,81
21329,81
21539,85
21818,22
22087,56
22386,33
22678,60
22967,36
23134,49
23350,89
23588,6
23808,43
23978,75
24087,78
24364,72
24544,55
24695,36
24822,68
25029,35
25182,21
25431,43
25621,42
25732,33
25850,6
26008,20
26199,99
26444,16
26677,4
26919,23
27123,87
27379,45
27524,17
27688,85
27940,56
28105,24
28323,43
28551,43
28741,28
29001,69
29137,17
29393,91
29617,81
29768,35
30063,3
30319,42
30600,4
30703,55
30967,30
31092,84
31330,19
31570,37
31687,48
31949,1
32058,64
32267,7
32531,6
32817,96
33018,85
33318,72
33613,20
33740,24
34017,39
34155,69
34299,45
34499,79
34731,48
35000,63
35167,56
35347,6
35468,7
35648,54
35890,98
36118,21
36365,85
36612,58
36904,15
37047,47
37277,5
37437,45
37667,8
37857,11
38147,24
38403,40
38644,16
38918,31
39059,77
39287,66
39479,89
39707,52
39835,32
39948,63
40237,80
40437,62
40724,23
40970,84
41142,92
41279,25
41414,16
41624,68
41755,96
41941,59
42220,30
42504,57
42737,64
43000,12
43291,51
43563,73
43706,63
43924,84
44163,97
44304,21
44492,11
44737,70
44856,99
45122,26
45271,11
45443,43
45706,15
45962,12
46078,31
46376,89
46481,91
46664,3
46798,65
47021,80
47258,36
47476,78
47630,67
47895,60
48070,71
48350,27
48573,77
48811,7
49085,38
49210,11
49378,2
49622,83
49820,37
49965,4
3550071,22
3550192,94
3550389,32
3550532,77
3550812,25
3550986,71
3551160,49
3551345,28
3551628,65
3551807,73
3552031,67
3552227,50
3552455,7
3552700,5
3552809,83
3552962,96
3553072,63
3553301,93
3553452,63
3553664,76
3553780,34
3554041,6
3554332,76
3554569,78
3554681,9
3554873,50
3555038,97
3555282,5
3555521,23
3555630,48
3555880,91
3556010,35
3556307,62
3556524,80
3556666,34
3556864,49
3557126,92
3557265,64
3557405,48
3557651,6
3557907,33
3558054,41
3558260,1
3558507,96
3558711,22
3558941,56
3559208,79
3559468,82
3559720,57
3559993,16
3560250,64
3560444,15
3560622,0
3560898,96
3561060,17
3561186,94
3561430,94
3561611,3
3561869,54
3562159,42
3562319,53
3562603,43
3562892,34
3563168,19
3563373,89
3563584,0
3563706,85
3563822,13
3564112,92
3564248,66
3564430,19
3564697,40
3564868,62
3565013,35
3565129,72
3565275,97
3565474,29
3565686,44
3565984,56
3566163,93
3566396,37
3566542,72
3566690,19
3566882,63
3567119,82
3567370,62
3567559,33
3567724,30
3567941,62
3568111,97
3568212,17
3568333,89
3568445,65
3568582,67
3568698,37
3568927,93
3569115,63
3569291,28
3569406,19
3569606,77
3569897,61
3570039,96
3570256,3
3570416,26
3570567,70
3570696,58
3570996,69
3571266,41
3571514,72
3571720,48
3571864,1
3572062,32
3572180,46
3572351,8
3572517,86
3572806,63
3572998,0
3573154,31
3573273,51
3573419,61
3573576,57
3573733,59
3573911,60
3574191,19
3574301,18
3574449,34
3574702,91
3574890,14
3575011,17
3575122,96
3575417,75
3575633,58
3575805,63
3576000,77
3576157,68
3576450,2
3576574,50
3576783,72
3577010,18
3577155,19
3577314,31
3577592,37
3577846,63
3578078,66
3578313,63
3578585,42
3578868,78
3579019,96
3579237,91
3579338,55
3579528,66
3579816,92
3580079,4
3580310,6
3580542,16
3580771,90
3581063,17
3581219,13
3581347,37
3581640,99
3581742,62
3582042,23
3582157,1
3582261,11
3582478,92
3582737,4
3582898,11
3583182,64
3583311,19
3583529,27
3583742,4
3583875,31
3584070,41
3584348,40
3584506,80
3584659,30
3584953,88
3585081,97
3585292,47
3585554,79
3585796,32
3586089,21
3586255,9
3586422,87
3586653,97
3586827,78
3587010,87
3587115,93
3587346,25
3587497,23
3587607,84
3587746,53
3587963,99
3588135,27
3588330,29
3588542,66
3588758,69
3588936,12
3589056,84
3589334,13
3589518,30
3589748,52
3589922,20
3590203,22
3590303,60
3590557,63
3590799,39
3591094,65
3591287,3
3591436,80
3591597,66
3591824,59
3591938,6
3592114,63
3592363,23
3592632,11
3592804,24
3593023,42
3593125,71
3593364,16
3593472,28
3593771,41
3593964,87
3594209,12
3594342,65
3594571,51
3594769,5
3595060,58
3595183,28
3595457,15
3595566,54
3595680,57
3595802,85
3596071,21
3596260,93
3596362,13
3596471,6
3596626,2
3596726,81
3596911,29
3597135,61
3597249,30
3597467,33
3597604,42
3597856,68
3598038,2
3598311,2
3598438,32
3598636,0
3598809,79
3598932,2
3599068,81
3599180,12
3599430,33
3599601,69
3599728,57
3599936,41
